disease_class,year,first_abs_all,first_per100k_all,total_abs_all,total_per100k_all,total_abs_1y,total_per100k_1y,total_abs_child,total_per100k_child,total_abs_teen,total_per100k_teen,disability_cases,disability_days,class_name,class_name_short
10,1995,43636.1,29529.0,50467.9,34152.2,1485.0,1211.9,22929.0,73110.2,2289.5,34938.5,,,Diseases of the respiratory system,Respiratory Diseases
10,1996,39058.2,26659.0,45945.0,31359.6,1424.4,1233.0,20498.2,67783.8,2054.0,31233.3,,,Diseases of the respiratory system,Respiratory Diseases
10,1997,43537.9,29792.4,50481.6,34543.9,1421.8,1216.6,22228.3,75897.4,2388.8,35695.3,,,Diseases of the respiratory system,Respiratory Diseases
10,1998,41091.7,28193.9,48185.6,33061.1,1384.7,1222.1,21957.2,77916.5,2541.6,36781.8,,,Diseases of the respiratory system,Respiratory Diseases
10,1999,44054.6,30347.1,51257.5,35308.8,1374.3,1219.9,22293.2,82631.0,2974.6,41637.2,,,Diseases of the respiratory system,Respiratory Diseases
10,2000,46169.9,31947.0,53513.7,37028.4,1361.3,1239.3,22952.2,87805.6,3217.4,43012.2,,,Diseases of the respiratory system,Respiratory Diseases
10,2001,43012.2,29675.1,50544.7,34871.9,1386.5,1211.3,21859.2,86369.3,3185.3,12368.1,,,Diseases of the respiratory system,Respiratory Diseases
10,2002,43004.5,29819.0,50701.9,35156.3,1454.4,1221.9,21692.8,91256.4,3326.1,44107.4,,,Diseases of the respiratory system,Respiratory Diseases
10,2003,44559.6,31062.3,52489.4,36590.1,1552.5,1218.2,22180.7,97621.1,3793.5,50524.9,,,Diseases of the respiratory system,Respiratory Diseases
10,2004,41946.1,29396.7,50052.5,35077.9,1573.6,1186.6,21347.2,97570.5,3613.8,49102.8,,,Diseases of the respiratory system,Respiratory Diseases
10,2005,41914.7,29525.3,50238.6,35388.8,1603.1,1179.3,21780.3,101562.8,3600.4,51909.6,,,Diseases of the respiratory system,Respiratory Diseases
10,2006,42338.3,29713.7,50998.6,35791.7,1615.4,1187.4,22237.9,105580.1,3564.5,55572.9,,,Diseases of the respiratory system,Respiratory Diseases
10,2007,42957.9,30227.6,51797.5,36447.6,1689.7,1102.4,22637.3,108558.3,3392.0,57893.2,,,Diseases of the respiratory system,Respiratory Diseases
10,2008,43220.8,30446.5,52041.3,36660.1,1767.9,1071.2,22731.1,108458.6,3018.4,57232.4,,,Diseases of the respiratory system,Respiratory Diseases
10,2009,48148.0,33928.7,57220.0,40321.6,1936.8,,25847.3,,3391.3,,,,Diseases of the respiratory system,Respiratory Diseases
10,2010,46281.0,32378.3,54187.0,37909.4,2004.6,1183.3,25507.7,117666.1,3023.8,65506.8,,,Diseases of the respiratory system,Respiratory Diseases
10,2011,48436.7,33881.1,55759.4,39003.2,2013.1,1219.2,26459.9,120336.7,3043.9,69235.2,,,Diseases of the respiratory system,Respiratory Diseases
10,2012,47381.3,33087.1,54651.6,38164.0,2017.0,1216.4,26579.6,118067.9,2922.4,69520.5,7727990.0,69325150.0,Diseases of the respiratory system,Respiratory Diseases
10,2013,48568.3,33843.9,55826.8,38901.8,2080.8,1205.3,27341.4,118358.9,2812.4,69548.5,8281822.0,73698918.0,Diseases of the respiratory system,Respiratory Diseases
10,2014,48707.9,33340.9,55872.5,38245.1,2088.2,1198.5,28167.3,117050.8,2703.3,67474.1,7381067.0,64222130.0,Diseases of the respiratory system,Respiratory Diseases
10,2015,49463.9,33785.5,56530.4,38612.1,2090.2,1084.3,28578.3,115430.7,2691.0,65964.7,7629894.0,66105591.0,Diseases of the respiratory system,Respiratory Diseases
10,2016,51572.6,35161.2,58750.7,40055.2,2299.2,1317.7,29656.8,117377.4,2773.5,68856.4,7871646.0,69182902.0,Diseases of the respiratory system,Respiratory Diseases
10,2017,51905.0,35347.4,59246.1,40346.7,2157.1,1264.2,30006.9,116834.9,2849.1,69589.4,7835937.0,66135257.0,Diseases of the respiratory system,Respiratory Diseases
10,2018,52832.6,35982.0,60139.9,40958.7,2057.3,1322.4,30305.9,117101.5,2946.6,69858.7,7868528.0,69098470.0,Diseases of the respiratory system,Respiratory Diseases
10,2019,52277.6,35620.1,59731.9,40699.1,1689.5,1102.3,30091.9,115989.2,2987.2,67126.7,7595816.0,66565373.0,Diseases of the respiratory system,Respiratory Diseases
10,2020,54273.3,36743.8,61312.4,41509.3,1375.3,951.3,26419.3,101970.6,2977.0,65832.3,10889212.0,123881555.0,Diseases of the respiratory system,Respiratory Diseases
10,2021,59381.9,40336.1,66596.6,45236.7,1431.4,1019.9,29640.9,114689.5,3302.9,73133.1,11124645.0,126997470.0,Diseases of the respiratory system,Respiratory Diseases
10,2022,61918.8,42203.8,68881.4,46949.5,1458.5,1084.9,30842.7,120096.3,3565.0,78106.6,12887622.0,125503729.0,Diseases of the respiratory system,Respiratory Diseases
11,1990,4021.6,2718.9,12873.8,8703.6,,,1316.4,3876.2,,,,,Diseases of the digestive system,Digestive Diseases
11,1995,5357.2,3625.2,15056.4,10188.8,110.0,89.8,1844.7,5882.0,279.4,4263.4,,,Diseases of the digestive system,Digestive Diseases
11,1996,4978.2,3397.9,14566.3,9942.2,117.8,102.0,1849.5,6115.8,278.9,4240.3,,,Diseases of the digestive system,Digestive Diseases
11,1997,4565.5,3124.1,14256.0,9755.2,121.5,104.0,1680.0,5736.2,269.2,4022.6,,,Diseases of the digestive system,Digestive Diseases
11,1998,4748.1,3257.7,14889.1,10215.7,136.7,120.6,1713.9,6081.9,295.8,4281.3,,,Diseases of the digestive system,Digestive Diseases
11,1999,4930.5,3164.9,15136.3,11630.3,134.3,119.2,1765.7,6544.5,315.4,4415.3,,,Diseases of the digestive system,Digestive Diseases
11,2000,4698.2,3250.9,15386.3,10646.4,140.7,128.1,1709.2,6538.7,326.0,4358.2,,,Diseases of the digestive system,Digestive Diseases
11,2001,4840.6,3339.6,15755.6,10870.1,147.3,128.7,1703.3,6822.0,360.7,4798.3,,,Diseases of the digestive system,Digestive Diseases
11,2002,5149.4,3570.6,16312.4,11310.9,164.1,137.8,2003.1,8426.4,401.7,5327.3,,,Diseases of the digestive system,Digestive Diseases
11,2003,5062.9,3529.3,15837.2,11040.0,175.7,137.9,1872.5,8241.3,402.5,5361.4,,,Diseases of the digestive system,Digestive Diseases
11,2004,5079.5,3559.8,15876.0,11126.3,185.0,139.5,1807.2,8259.9,425.9,5786.9,,,Diseases of the digestive system,Digestive Diseases
11,2005,5034.1,3546.1,16089.1,11333.4,190.7,140.3,1822.0,8496.0,412.4,5945.3,,,Diseases of the digestive system,Digestive Diseases
11,2006,5024.0,3525.9,16203.6,11372.0,199.6,146.7,1807.6,8581.8,398.6,6214.8,,,Diseases of the digestive system,Digestive Diseases
11,2007,4904.1,3450.8,16031.8,11280.9,214.9,140.2,1791.5,8591.1,379.3,6473.7,,,Diseases of the digestive system,Digestive Diseases
11,2008,4910.2,3458.9,16123.9,11358.3,238.0,144.2,1823.1,8698.7,360.8,6841.7,,,Diseases of the digestive system,Digestive Diseases
11,2009,4901.5,3454.0,16056.1,11314.4,246.6,,1821.8,,346.3,,,,Diseases of the digestive system,Digestive Diseases
11,2010,4778.1,3342.8,16069.5,11242.3,250.0,147.6,1807.5,8338.0,326.7,7076.9,,,Diseases of the digestive system,Digestive Diseases
11,2011,4766.9,3334.4,16042.0,11221.2,256.0,155.1,1794.0,8159.0,321.4,7309.6,,,Diseases of the digestive system,Digestive Diseases
11,2012,4981.9,3478.9,16267.6,11359.9,248.9,150.1,1854.9,8239.5,324.7,7724.1,1129239.0,15420304.0,Diseases of the digestive system,Digestive Diseases
11,2013,5055.3,3522.7,16377.7,11412.5,244.7,141.7,1880.7,8141.2,318.9,7885.6,1034490.0,14309151.0,Diseases of the digestive system,Digestive Diseases
11,2014,5342.3,3656.9,17358.7,11882.2,240.2,137.9,1929.0,8015.9,323.1,8064.4,1022905.0,14000858.0,Diseases of the digestive system,Digestive Diseases
11,2015,5163.1,3526.6,17132.8,11702.3,253.9,131.7,1786.1,7214.2,292.5,7169.3,988930.0,13555216.0,Diseases of the digestive system,Digestive Diseases
11,2016,5228.7,3564.8,17206.6,11731.1,255.3,146.3,1781.0,7048.7,280.5,6964.0,968374.0,13123479.0,Diseases of the digestive system,Digestive Diseases
11,2017,4985.8,3395.3,16994.0,11573.0,243.1,142.5,1674.5,6519.6,262.7,6417.3,961081.0,13008447.0,Diseases of the digestive system,Digestive Diseases
11,2018,4856.3,3307.5,16918.2,11522.3,236.6,152.1,1670.7,6455.6,265.3,6289.9,980235.0,13119412.0,Diseases of the digestive system,Digestive Diseases
11,2019,4693.5,3198.0,16762.7,11421.5,184.1,120.1,1547.9,5966.4,271.5,6100.3,959839.0,12881875.0,Diseases of the digestive system,Digestive Diseases
11,2020,3855.0,2609.9,14810.0,10026.6,168.8,116.8,1210.8,4673.4,223.9,4952.1,818795.0,11095979.0,Diseases of the digestive system,Digestive Diseases
11,2021,3920.8,2663.3,15103.8,10259.5,156.5,111.5,1261.9,4882.9,247.2,5473.0,901622.0,12113843.0,Diseases of the digestive system,Digestive Diseases
11,2022,3985.7,2716.7,15298.8,10427.7,145.5,108.3,1214.3,4728.2,249.8,5473.9,1036954.0,13876752.0,Diseases of the digestive system,Digestive Diseases
11.1,1990,132.2,89.4,1608.1,1087.2,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,1995,172.6,116.3,1721.3,1164.8,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,1996,181.4,123.8,1739.1,1187.0,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,1997,186.9,127.9,1759.8,1204.2,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,1998,193.6,132.9,1797.8,1233.5,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,1999,204.4,140.8,1841.1,1268.2,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2000,191.3,132.4,1866.8,1291.7,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2001,191.6,132.2,1871.2,1291.0,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2002,177.5,123.0,1856.2,1287.1,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2003,164.8,114.9,1807.9,1260.3,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2004,164.5,115.3,1778.3,1246.3,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2005,152.6,106.6,1725.3,1205.6,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2006,160.5,112.7,1711.5,1201.2,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2007,153.7,108.2,1651.7,1162.2,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2008,147.6,103.9,1600.1,1127.2,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2009,146.4,103.1,1560.4,1099.6,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2010,136.6,95.6,1495.7,1046.4,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2011,129.7,90.7,1438.5,1006.2,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2012,124.4,86.9,1369.6,956.4,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2013,119.0,82.9,1320.8,920.4,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2014,116.0,79.4,1307.5,895.0,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2015,125.4,85.6,1275.9,871.5,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2016,122.4,83.5,1244.3,848.3,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2017,116.7,79.5,1248.4,850.1,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2018,105.6,71.9,1225.8,834.8,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2019,101.7,69.3,1188.6,809.8,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2020,81.0,54.8,1084.9,734.5,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2021,79.1,53.7,1049.6,713.0,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
11.1,2022,83.9,57.2,1020.0,695.2,,,,,,,,,Peptic / duodenal ulcer,Stomach / Duodenal Ulcer
12,1990,5178.2,3500.8,6686.8,4520.8,,,1646.4,4847.8,,,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,1995,7112.9,4813.4,8701.0,5888.1,,,2320.9,7400.3,339.7,5184.2,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,1996,6773.4,4623.2,8403.3,5735.6,,,2189.8,7241.2,340.4,5175.5,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,1997,6420.9,4393.7,7978.0,5459.2,,,2044.1,6979.5,337.9,5049.2,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,1998,6298.4,4321.4,7843.9,5381.8,,,1953.1,6930.7,351.5,5087.0,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,1999,6278.8,4325.2,7770.8,5352.9,,,1862.6,6903.8,382.5,5354.2,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2000,6407.3,4433.5,8024.3,5552.4,,,1889.6,7228.8,419.2,5604.1,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2001,6560.9,4526.5,8144.3,5618.9,,,1898.7,7604.6,453.0,6025.9,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2002,6763.1,4689.5,8359.9,5796.7,,,1899.6,7991.1,480.3,6369.3,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2003,6763.5,4714.8,8396.6,5853.2,,,1873.7,8246.7,502.3,6690.6,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2004,6993.3,4901.1,8739.1,6124.5,,,1946.7,8897.6,523.4,7111.6,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2005,7072.9,4982.3,8850.0,6234.1,,,1960.5,9141.7,517.6,7462.7,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2006,7238.7,5080.2,9096.1,6383.8,,,2014.5,9564.4,507.7,7915.6,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2007,7160.9,5038.8,9046.7,6365.7,,,2024.9,9710.5,483.3,8249.5,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2008,7056.3,4970.8,8972.6,6320.7,,,1988.1,9485.9,437.9,8303.9,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2009,6990.8,4926.2,8966.9,6318.7,,,1961.5,,413.8,,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2010,6885.5,4817.1,8794.0,6152.3,,,1980.5,9135.8,392.3,8499.9,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2011,6794.7,4752.8,8772.3,6136.1,,,1966.8,8944.6,372.4,8471.7,,,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2012,6876.3,4801.8,8888.1,6206.7,,,2019.9,8972.4,367.0,8731.3,533274.0,6441331.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2013,6739.9,4696.6,8808.6,6138.1,,,1977.5,8560.2,354.9,8776.5,499026.0,6043367.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2014,6767.4,4632.3,8933.1,6114.8,,,1999.5,8309.1,357.7,8928.6,476141.0,5769541.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2015,6436.8,4396.5,8749.3,5976.0,,,1887.2,7622.7,322.6,7907.2,440127.0,5366986.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2016,6241.0,4255.0,8604.2,5866.2,,,1800.8,7127.4,306.8,7615.6,422920.0,5134351.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2017,6017.4,4097.8,8403.1,5722.6,,,1780.6,6880.1,292.1,7133.5,413509.0,5045321.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2018,5915.3,4028.7,8330.8,5673.8,,,1727.5,6675.1,293.4,6955.0,407390.0,4995942.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2019,5977.3,4072.7,8449.5,5757.2,,,1744.7,6725.0,299.9,6739.9,394886.0,4888844.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2020,4979.0,3370.8,7201.0,4875.2,,,1461.0,5639.0,257.6,5696.3,331171.0,4201535.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2021,5194.3,3528.3,7495.2,5091.2,,,1469.4,5685.6,275.0,6089.9,351299.0,4472843.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
12,2022,5292.0,3607.0,7589.2,5172.8,,,1471.6,5730.0,290.3,6361.0,369762.0,4764753.0,Diseases of the skin and subcutaneous tissue,Skin Diseases
13,1990,3668.6,2480.2,8616.3,5825.2,,,286.5,843.7,,,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,1995,3952.9,2674.9,10342.2,6998.7,,,547.4,1745.4,135.8,2073.0,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,1996,4119.9,2812.0,10928.8,7459.4,,,611.0,2020.6,164.2,2497.0,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,1997,4128.3,2824.6,11228.1,7683.2,,,639.3,2182.9,188.6,2818.2,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,1998,4236.1,2906.5,11835.1,8120.3,,,719.5,2553.2,217.1,3141.5,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,1999,4268.9,2940.6,12016.2,8277.3,,,747.1,2769.0,250.1,3500.7,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2000,4452.5,3080.9,12735.7,8812.4,,,759.1,2904.0,272.0,3636.3,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2001,4582.8,3161.8,13318.6,9188.8,,,741.3,2969.0,295.1,3924.8,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2002,5059.3,3508.1,14452.0,10020.9,,,1037.9,4366.1,377.9,5011.3,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2003,4817.7,3358.4,14582.5,10165.4,,,850.5,3743.3,344.9,4593.3,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2004,4875.3,3416.7,15186.4,10643.0,,,849.7,3883.9,371.0,5041.5,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2005,4745.7,3342.9,15670.6,11038.6,,,823.7,3840.9,359.2,5178.7,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2006,5039.5,3536.8,16895.7,11857.7,,,816.6,3877.0,346.9,5409.1,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2007,5022.3,3533.9,17290.2,12166.3,,,831.3,3986.6,334.0,5700.5,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2008,5013.3,3531.6,17744.7,12500.1,,,833.9,3979.0,302.9,5744.1,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2009,4952.0,3489.6,18004.4,12687.3,,,842.6,,291.6,,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2010,4788.9,3350.3,18306.2,12807.0,,,825.7,3809.0,280.6,6079.2,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2011,4808.9,3363.8,18803.2,13152.7,,,864.1,3929.9,271.6,6177.1,,,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2012,4761.0,3324.7,19103.1,13340.0,,,872.0,3873.3,264.3,6287.1,3019690.0,45060774.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2013,4633.7,3228.9,19087.9,13301.0,,,844.3,3654.8,246.8,6102.4,2844414.0,42605933.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2014,4647.0,3180.9,19668.0,13462.9,,,838.5,3484.5,242.8,6061.3,2849996.0,43314026.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2015,4409.7,3012.0,19429.1,13270.7,,,818.7,3306.7,235.4,5771.1,2688802.0,40743570.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2016,4331.5,2953.2,19226.0,13107.9,,,800.6,3168.6,230.7,5726.3,2665957.0,40110832.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2017,4331.1,2949.5,19261.6,13117.2,,,811.1,3158.0,231.3,5649.9,2767552.0,41796484.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2018,4382.4,2984.7,19611.6,13356.6,,,826.4,3193.3,237.1,5621.2,2887346.0,43368371.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2019,4450.5,3032.4,20023.6,13643.3,,,806.0,3106.6,243.9,5481.1,2902352.0,44013576.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2020,3662.6,2479.6,17360.5,11753.3,,,604.7,2333.8,191.5,4234.7,2906618.0,44429471.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2021,3893.8,2644.9,17667.7,12001.0,,,644.2,2492.5,220.9,4891.7,3189460.0,49818057.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
13,2022,4209.8,2869.4,18864.1,12857.8,,,660.0,2569.9,235.7,5163.4,3593200.0,55636166.0,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal Diseases
14,1990,2896.8,1958.4,6351.6,4294.1,,,261.7,770.5,,,,,Diseases of the genitourinary system,Genitourinary Diseases
14,1995,4275.6,2893.3,8753.4,5923.5,29.4,24.0,448.0,1428.6,161.8,2469.6,,,Diseases of the genitourinary system,Genitourinary Diseases
14,1996,4522.8,3087.0,9328.3,6367.0,31.2,27.0,474.2,1568.0,194.3,2954.1,,,Diseases of the genitourinary system,Genitourinary Diseases
14,1997,4611.5,3155.6,9627.5,6587.9,33.9,29.0,487.1,1663.2,206.7,3088.7,,,Diseases of the genitourinary system,Genitourinary Diseases
14,1998,4905.5,3365.7,10291.5,7061.2,37.5,33.1,523.4,1857.3,236.7,3425.8,,,Diseases of the genitourinary system,Genitourinary Diseases
14,1999,5288.4,3642.9,10960.7,7550.3,36.5,32.4,533.8,1978.7,275.2,3852.6,,,Diseases of the genitourinary system,Genitourinary Diseases
